html_url,stargazers_count,language,topics,description,loc,source_files,model_files,data_files,type_yorick,relation_yorick,type_henriette,relation_henriette,agreement 39%,type agreement: 56%,type decision,review,relation agreement: 71%,relation decision,review,Comments,,,final type,final relation,,System Type,,,,Relation to ML,,
https://github.com/deel-ai/xplique,489,Python,explainable-ai|explainable-ml|interpretability|xai,������������ Xplique is a Neural Networks Explainability Toolbox,7268,132,0,13,Library,ML-Tools,Library,ML-Tools,OK,Library,,,ML-Tools,,,,,,Library,ML-Tools,,,,,,,,
https://github.com/chrisdonahue/sheetsage,183,Python,,Transcribe music into lead sheets!,5043,49,0,7,Application,Applied,Application,Applied,OK,Application,,,Applied,,,,,,Application,Applied,,,,,,,,
https://github.com/yichen928/SparseFusion,109,Python,,[ICCV 2023] SparseFusion: Fusing Multi-Modal Sparse Representations for Multi-Sensor 3D Object Detection,48647,440,0,10,"Library, Experiment",ML-Technology,"Library, Experiment",ML-Technology,OK,"Library, Experiment",,,ML-Technology,,,,,,"Library, Experiment",ML-Technology,,,,,,,,
https://github.com/facebookresearch/recipes,248,Python,,"Recipes are a standard, well supported set of blueprints for machine learning engineers to rapidly train models using the latest research techniques without significant engineering overhead.Specifically, recipes aims to provide- Consistent access to pre-trained SOTA models ready for production- Reference implementations for SOTA research reproducibility, and infrastructure to guarantee correctness, efficiency, and interoperability.",5740,132,1,5,Application,ML-Tools,Application,ML-Tools,OK,Application,,,ML-Tools,,,,,,Application,ML-Tools,,,,,,,,
https://github.com/keras-team/keras-core,1231,Python,,"A multi-backend implementation of the Keras API, with support for TensorFlow, JAX, and PyTorch.",114580,690,0,3,Library,ML-Technology,Library,ML-Technology,OK,Library,,,ML-Technology,,,,,,Library,ML-Technology,,,,,,,,
https://github.com/sunnyhaibin/sunnypilot,458,Python,acura|audi|autopilot|chrysler|comma|fsd|genesis|honda|hyundai|jeep|kia|lexus|mazda|nissan|openpilot|ram|selfdriving|tesla|toyota|volkswagen,"sunnypilot is a fork of comma.ai's openpilot, an open source driver assistance system. sunnypilot offers the user a unique driving experience for over 250 supported car makes and models with modified behaviors of driving assist engagements. sunnypilot complies with comma.ai's safety rules as accurately as possible.",56562,639,0,179,Application,Applied,Application,Applied,OK,Application,,,Applied,,,,,,Application,Applied,,,,,,,,
https://github.com/Victorwz/LongMem,671,Python,,"Official implementation of our NeurIPS 2023 paper ""Augmenting Language Models with Long-Term Memory"". ",145832,1003,0,21,"Library, Experiment",ML-Technology,"Library, Experiment",ML-Technology,OK,"Library, Experiment",,,ML-Technology,,,,,,"Library, Experiment",ML-Technology,,,,,,,,
https://github.com/facebookresearch/theseus,1456,Python,bilevel-optimization|computer-vision|deep-learning|differentiable-optimization|embodied-ai|gauss-newton|implicit-differentiation|levenberg-marquardt|nonlinear-least-squares|pytorch|robotics,A library for differentiable nonlinear optimization,24449,230,1,15,Library,ML-Tools,Library,ML-Tools,OK,Library,,,ML-Tools,,,,,,Library,ML-Tools,,,,,,,,
https://github.com/Gentopia-AI/Gentopia,212,Python,,Build Hierarchical Autonomous Agents through Config. Collaborative Growth of Specialized Agents.,5883,128,0,9,Framework,ML-Tools,Framework,ML-Tools,OK,Framework,,,ML-Tools,,,,,,Framework,ML-Tools,,,,,,,,
https://github.com/csebuetnlp/xl-sum,230,Python,abstractive-summarization|abstractive-text-summarization|dataset|deep-learning|low-resource-languages|low-resource-summarization|low-resource-text-summarizarion|machine-learning|multilingual|multilingual-summarization|multilingual-text-summarization|multilinguality|summarization-corpora|summarization-dataset|text-summarisation|text-summarization|text-summarization-dataset|text-summarization-model,"This repository contains the code, data, and models of the paper titled ""XL-Sum: Large-Scale Multilingual Abstractive Summarization for 44 Languages"" published in Findings of the Association for Computational Linguistics: ACL-IJCNLP 2021.",159116,757,0,50,"Library, Experiment",ML-Technology,"Library, Experiment",ML-Technology,OK,"Library, Experiment",,,ML-Technology,,,,,,"Library, Experiment",ML-Technology,,,,,,,,
https://github.com/husseinmozannar/SOQAL,148,Python,arabic|arabic-language|arabic-nlp|deep-learning|nlp|question-answering|reading-comprehension|tf-idf,Arabic Open Domain Question Answering System using Neural Reading Comprehension,6236,35,0,7,Application,Applied,Application,Applied,OK,Application,,,Applied,,,,,,Application,Applied,,,,,,,,
https://github.com/elmpystudio/pyStudio,117,Python,dagster|data-science|machine-learning,The easier way to do machine learning in Python without coding!,6281,157,1,79,Application,ML-Tools,Application,ML-Tools,OK,Application,,,ML-Tools,,,,,,Application,ML-Tools,,,,,,,,
https://github.com/pysal/spopt,219,Python,facility-location|location-allocation|location-modeling|python|regionalization|resource-planning|routing|spatial-analysis|spatial-optimization|transportation,Spatial Optimization,6367,66,0,18,Library,Applied,Library,Applied,OK,Library,,,Applied,,,,,,Library,Applied,,,,,,,,
https://github.com/Sirui-Xu/InterDiff,130,Python,3d-human-pose|6d|deep-learning|diffusion|diffusion-models|generative-ai|generative-model|human-motion-prediction|human-object-interaction|human-scene-interaction|motion-prediction|object-pose,"[ICCV 2023] Official PyTorch implementation of the paper ""InterDiff: Generating 3D Human-Object Interactions with Physics-Informed Diffusion""",6280,42,0,7,"Library, Experiment","Applied, ML-Technology","Library, Experiment","Applied, ML-Technology",OK,"Library, Experiment",,,"Applied, ML-Technology",,,,,,"Library, Experiment","Applied, ML-Technology",,,,,,,,
https://github.com/facebookresearch/UnsupervisedDecomposition,118,Python,,"PyTorch original implementation of ""Unsupervised Question Decomposition for Question Answering""",23345,151,0,13,"Library, Experiment","Applied, ML-Technology","Library, Experiment","Applied, ML-Technology",OK,"Library, Experiment",,,"Applied, ML-Technology",,,,,,"Library, Experiment","Applied, ML-Technology",,,,,,,,
https://github.com/THUDM/P-tuning-v2,1668,Python,natural-language-processing|p-tuning|parameter-efficient-learning|pretrained-language-model|prompt-tuning,An optimized deep prompt tuning strategy comparable to fine-tuning across scales and tasks,14464,179,0,4,"Library, Experiment","Applied, ML-Tools","Library, Experiment","Applied, ML-Tools",OK,"Library, Experiment",,,"Applied, ML-Tools",,,,,,"Library, Experiment","Applied, ML-Tools",,,,,,,,
https://github.com/mosaicml/llm-foundry,3128,Python,deep-learning|llm|neural-networks|nlp|pytorch,LLM training code for MosaicML foundation models,19160,124,0,2,Library,ML-Tools,Library,ML-Tools,OK,Library,,,ML-Tools,,,,,,Library,ML-Tools,,,,,,,,
https://github.com/fenglinglwb/MAT,562,Python,,MAT: Mask-Aware Transformer for Large Hole Image Inpainting,6810,49,0,11,"Library, Experiment",ML-Technology,"Library, Experiment",ML-Technology,OK,"Library, Experiment",,,ML-Technology,,,,,,"Library, Experiment",ML-Technology,,,,,,,,
https://github.com/microsoft/Cream,1323,Python,automl|efficiency|knowledge-distillation|nas|rpe|vision-transformer|vit-compression,This is a collection of our NAS and Vision Transformer work.,87334,757,0,67,Library,ML-Technology,Library,ML-Technology,OK,Library,,,ML-Technology,,,,,,Library,ML-Technology,,,,,,,,
https://github.com/Lightning-AI/lit-gpt,3441,Python,,"Hackable implementation of state-of-the-art open-source LLMs based on nanoGPT. Supports flash attention, 4-bit and 8-bit quantization, LoRA and LLaMA-Adapter fine-tuning, pre-training. Apache 2.0-licensed.",7998,66,0,7,Library,"ML-Technology, ML-Tools",Library,"ML-Technology, ML-Tools",OK,Library,,,"ML-Technology, ML-Tools",,,,,,Library,"ML-Technology, ML-Tools",,,,,,,,
https://github.com/boston-dynamics/spot-sdk,2137,Python,,Spot SDK repo ,49988,392,1,564,Framework,Applied,Library,Applied,CONFLICT,CONFLICT,Framework,,Applied,,,,,,Framework,Applied,,,,,,,,
https://github.com/snap-research/R2L,172,Python,deep-learning|distillation|mlp|nerf|neural-light-field|novel-view-synthesis|rendering,[ECCV 2022] R2L: Distilling Neural Radiance Field to Neural Light Field for Efficient Novel View Synthesis,6232,23,0,63,"Library, Experiment",ML-Technology,"Library, Experiment",Applied,CONFLICT,"Library, Experiment",,,CONFLICT,Applied,,,,,"Library, Experiment",Applied,,,,,,,,
https://github.com/bigpon/vcc20_baseline_cyclevae,131,Python,baseline|cyclevae-vc|parallel-wavenet-vocoder|pytorch|vcc2020|voice-conversion,Voice Conversion Challenge 2020 CycleVAE baseline system ,6206,38,0,2,Experiment,Applied,Library,Applied,CONFLICT,CONFLICT,Application,REVIEW,Applied,,,Application,,,Application,Applied,,,,,,,,
https://github.com/hustvl/TeViT,223,Python,instance-segmentation|video-instance-segmentation|video-understanding,"Temporally Efficient Vision Transformer for Video Instance Segmentation, CVPR 2022, Oral",83289,1133,0,24,"Library, Experiment",ML-Technology,Framework,Applied,CONFLICT,CONFLICT,Library,REVIEW,CONFLICT,ML-Technology,,Library,,,Library,ML-Technology,,,,,,,,
https://github.com/microsoft/UniSpeech,350,Python,diarization|pytorch|speaker-verification|speech|speech-diarization|speech-processing|speech-recognition|speech-separation,UniSpeech  - Large Scale Self-Supervised Learning for Speech,44279,210,0,17,Library,ML-Technology,Library,Applied,CONFLICT,Library,,,CONFLICT,ML-Technology,,,,,Library,ML-Technology,,,,,,,,
https://github.com/quic/aimet,1694,Python,auto-ml|compression|deep-learning|deep-neural-networks|machine-learning|network-compression|network-quantization|open-source|opensource|pruning|quantization,AIMET is a library that provides advanced quantization and compression techniques for trained neural network models.,108144,622,0,183,Library,ML-Tools,Library,ML-Tools,OK,Library,,,ML-Tools,,,,,,Library,ML-Tools,,,,,,,,
https://github.com/haomo-ai/MotionSeg3D,201,Python,,[IROS 2022] Efficient Spatial-Temporal Information Fusion for LiDAR-Based 3D Moving Object Segmentation,5808,55,0,4,Library,"ML-Technology, ML-Tools",Library,Applied,CONFLICT,Library,,,CONFLICT,Applied,,,,,Library,Applied,,,,,,,,
https://github.com/Cloud-CV/Fabrik,1112,Python,caffe|ide|keras|neural-network|tensorflow|visualization,":factory: Collaboratively build, visualize, and design neural nets in browser",8328,123,0,80,Application,ML-Tools,Application,ML-Tools,OK,Application,,,ML-Tools,,,,,,Application,ML-Tools,,,,,,,,
https://github.com/learnables/cherry,192,Python,learning|pytorch|reinforcement|reinforcement-learning|rl,A PyTorch Library for Reinforcement Learning Research,10166,110,0,25,Library,ML-Technology,Framework,ML-Technology,CONFLICT,CONFLICT,Framework,,ML-Technology,,,,,,Framework,ML-Technology,,,,,,,,
https://github.com/thangvubk/Cascade-RPN,176,Python,,"Code for NeurIPS 2019 paper: ""Cascade RPN: Delving into High-Quality Region Proposal Network with Adaptive Convolution""",40267,337,0,10,"Library, Experiment",ML-Technology,Library,ML-Technology,CONFLICT,CONFLICT,Library,,ML-Technology,,,,,,Library,ML-Technology,,,,,,,,
https://github.com/pytorch/audio,2244,Python,audio|audio-processing|io|machine-learning|python|pytorch|speech,"Data manipulation and transformation for audio signal processing, powered by PyTorch",55321,548,0,65,Library,ML-Technology,Framework,ML-Technology,CONFLICT,CONFLICT,Library,,ML-Technology,,,,,,Library,ML-Technology,,,,,,,,
https://github.com/iffiX/machin,374,Python,a3c-pytorch|ddpg|deep-learning|distributed|dqn|ppo|prioritized-experience-replay|python|pytorch|pytorch-lightning|pytorch-reinforcement-learning|reinforcement-learning|sac|td3,"Reinforcement learning library(framework) designed for PyTorch, implements DQN, DDPG, A2C, PPO, SAC, MADDPG, A3C, APEX, IMPALA ...",23750,218,0,20,"Library, Framework",ML-Technology,Library,ML-Technology,CONFLICT,CONFLICT,Library,,ML-Technology,,,,,,Library,ML-Technology,,,,,,,,
https://github.com/cientgu/InstructDiffusion,268,Python,,"PyTorch implementation of InstructDiffusion, a unifying and generic framework for aligning computer vision tasks with human instructions.",13070,65,0,33,Framework,ML-Technology,Framework,"ML-Tools, Applied",CONFLICT,Framework,Application,REVIEW,CONFLICT,Applied,REVIEW,"Application and Applied, I don’t know how I got to ml-tools and applied",,,Framework,Applied,,,,,,,,
https://github.com/tdeboissiere/DeepLearningImplementations,1808,Python,deep-learning-papers,Implementation of recent Deep Learning papers,8121,115,0,50,"Library, Experiment",ML-Technology,Library,"Applied, ML-Technology",CONFLICT,CONFLICT,Library,,CONFLICT,ML-Technology,,,,,Library,ML-Technology,,,,,,,,
https://github.com/marlbenchmark/on-policy,923,Python,algorithms|hanabi|mappo|mpes|multi-agent|ppo|smac|starcraftii,This is the official implementation of Multi-Agent PPO (MAPPO).,13258,134,0,3,"Library, Experiment",ML-Technology,Framework,Applied,CONFLICT,CONFLICT,Framework,,CONFLICT,Applied,,,,,Framework,Applied,,,,,,,,
https://github.com/mkocabas/VIBE,2713,Python,3d-human-pose|3d-pose-estimation|cvpr|cvpr-2020|cvpr20|cvpr2020|human-pose-estimation|pytorch|smpl|video-pose-estimation,"Official implementation of CVPR2020 paper ""VIBE: Video Inference for Human Body Pose and Shape Estimation""",5855,56,0,1,"Library, Experiment",ML-Technology,Application,Applied,CONFLICT,CONFLICT,"Application, Library, Experiment",REVIEW,CONFLICT,Applied,,"Application, Library and Applied",,,"Application, Library, Experiment",Applied,,,,,,,,
https://github.com/albermax/innvestigate,1179,Python,,A toolbox to iNNvestigate neural networks' predictions!,5591,66,0,4,Library,ML-Tools,Framework,ML-Tools,CONFLICT,CONFLICT,Library,,ML-Tools,,,,,,Library,ML-Tools,,,,,,,,
https://github.com/daveredrum/ScanRefer,195,Python,3d|computer-vision|dataset|deep-learning|eccv|natural-language-processing|point-cloud|pytorch|visual-grounding,[ECCV 2020] ScanRefer: 3D Object Localization in RGB-D Scans using Natural Language,6113,46,0,10,"Library, Experiment","Applied, Technology",Library,Applied,CONFLICT,CONFLICT,"Library, Experiment",,CONFLICT,Applied,,,,,"Library, Experiment",Applied,,,,,,,,
https://github.com/JDGalileo/galileo,142,Python,,Galileo library for large scale graph training by JD,10897,210,0,19,Library,ML-Technology,Framework,ML-Technology,CONFLICT,CONFLICT,Library,,ML-Technology,,,,,,Library,ML-Technology,,,,,,,,
https://github.com/AlanLi1997/slim-neck-by-gsconv,147,Python,gsconv|lightweight-framework|objectdetection|pytorch|yolo|yolov4|yolov5,Pytorch implementation of the 'Slim-neck by GSConv: A better design paradigm of detector architectures for autonomous vehicles',9005,54,4,18,"Library, Experiment",ML-Technology,Library,ML-Technology,CONFLICT,CONFLICT,"Library, Experiment",,ML-Technology,,,,,,"Library, Experiment",ML-Technology,,,,,,,,
https://github.com/microsoft/COCO-LM,117,Python,contrastive-learning|deep-learning|language-model|natural-language-processing|natural-language-understanding|pretrained-language-model|pretraining|representation-learning|transformers,[NeurIPS 2021] COCO-LM: Correcting and Contrasting Text Sequences for Language Model Pretraining,101618,646,0,7,"Library, Experiment",ML-Technology,Library,ML-Technology,CONFLICT,CONFLICT,Library,,ML-Technology,,,,,,Library,ML-Technology,,,,,,,,
https://github.com/flennerhag/mlens,806,Python,ensemble|ensemble-learning|ensembles|learners|machine-learning|python|stack|stacking,ML-Ensemble ��������������������������� high performance ensemble le,12672,129,0,22,Library,ML-Tools,Framework,ML-Tools,CONFLICT,CONFLICT,Library,,ML-Tools,,,,,,Library,ML-Tools,,,,,,,,
https://github.com/awslabs/pptod,147,Python,plugandplay|pretrained-models|task-oriented-dialogue,Multi-Task Pre-Training for Plug-and-Play Task-Oriented Dialogue System (ACL 2022),7421,85,0,25,Library,ML-Technology,Library,Applied,CONFLICT,Library,,,CONFLICT,ML-Technology,,,,,Library,ML-Technology,,,,,,,,
https://github.com/HW140701/VideoTo3dPoseAndBvh,336,Python,bvh|human-pose-estimation|pose-estimation|video-to-3d-pose,Convert video to the bvh motion file,64621,318,1,14,Application,Applied,Application,Applied,OK,Application,,,Applied,,,,,,Application,Applied,,,,,,,,
https://github.com/winedarksea/AutoTS,878,Python,automl|autots|deep-learning|feature-engineering|forecasting|machine-learning|preprocessing|time-series,Automated Time Series Forecasting,34006,71,0,27,Library,ML-Technology,Framework,ML-Technology,CONFLICT,CONFLICT,Library,,ML-Technology,,,,,,Library,ML-Technology,,,,,,,,
https://github.com/PaddlePaddle/PaddleTS,405,Python,cost|deepar|informer|n-beats|n-hits|nbeats|nhits|paddlepaddle|paddlets|time-series-analysis|time-series-anomaly-detection|time-series-forecasting|time-series-models|time-series-representation-learning|ts2vec,"Awesome Easy-to-Use Deep Time Series Modeling based on PaddlePaddle, including comprehensive functionality modules like TSDataset, Analysis, Transform, Models, AutoTS, and Ensemble, etc., supporting versatile tasks like time series forecasting, representation learning, and anomaly detection, etc., featured with quick tracking of SOTA deep models.",41199,337,0,50,Library,ML-Technology,Framework,ML-Technology,CONFLICT,CONFLICT,Library,,ML-Technology,,,,,,Library,ML-Technology,,,,,,,,
https://github.com/NVIDIA/NVFlare,444,Python,python,NVIDIA Federated Learning Application Runtime Environment,81820,1234,0,590,Framework,ML-Tools,Application,ML-Tools,CONFLICT,CONFLICT,"Application, Framework",REVIEW,ML-Tools,,,"Application, Framework and ML-Tools",,,"Application, Framework",ML-Tools,,,,,,,,
https://github.com/mbzuai-oryx/Video-ChatGPT,558,Python,chatbot|clip|gpt-4|llama|llava|mulit-modal|vicuna|video-chatboat|video-conversation|vision-language|vision-language-pretraining,"""Video-ChatGPT"" is a video conversation model capable of generating meaningful conversation about videos. It combines the capabilities of LLMs with a pretrained visual encoder adapted for spatiotemporal video representation. We also introduce a rigorous 'Quantitative Evaluation Benchmarking' for video-based conversational models.",6645,43,0,23,Application,Applied,Framework,Applied,CONFLICT,CONFLICT,"Application, Framework",REVIEW,Applied,,,"Application, Framework and Applied",,,"Application, Framework",Applied,,,,,,,,
https://github.com/IanYeung/RealVSR,102,Python,,"Dataset and Code for ICCV 2021 paper ""Real-world Video Super-resolution: A Benchmark Dataset and A Decomposition based Learning Scheme""",5965,38,0,2,"Library, Framework, Experiment","Technology, Applied",Library,Applied,CONFLICT,CONFLICT,Library,,CONFLICT,"Applied, ML-Technology",REVIEW,ok,,,Library,"Applied, ML-Technology",,,,,,,,
https://github.com/OmicsML/dance,260,Python,benchmark|bioinformatics|computational-biology|dance|data-science|deep-learning|graph-neural-networks|machine-learning|multimodality|python|single-cell|single-cell-rna-seq|single-cell-rna-sequencing|spatial-transcriptomics,DANCE: A Deep Learning Library and Benchmark Platform for Single-Cell Analysis,17702,137,0,7,Library,Applied,Framework,Applied,CONFLICT,CONFLICT,Framework,,Applied,,,,,,Framework,Applied,,,,,,,,
https://github.com/keonlee9420/Comprehensive-Transformer-TTS,288,Python,comprehensive|deep-learning|fastspeech|fastspeech2|hifi-gan|mel-gan|multi-speaker|neural-tts|non-ar|non-autoregressive|pytorch|single-speaker|sota|speech-synthesis|supervised|text-to-speech|transformer|tts|ultimate-tts|unsupervised,"A Non-Autoregressive Transformer based Text-to-Speech, supporting a family of SOTA transformers with supervised and unsupervised duration modelings. This project grows with the research community, aiming to achieve the ultimate TTS",7257,46,0,50,"Library, Experiment",ML-Technology,Library,ML-Technology,CONFLICT,CONFLICT,Library,,ML-Technology,,,,,,Library,ML-Technology,,,,,,,,
https://github.com/Zhongdao/UniTrack,325,Python,multi-object-track|multi-object-tracker|multi-object-tracking|multi-object-tracking-segmentation|object-tracking|pose-tracking|single-object-tracking|tracking-by-detection|video-instance-segmentation|video-object-segmentation|video-object-tracking,"[NeurIPS'21] Unified tracking framework with a single appearance model. It supports Single Object Tracking (SOT), Video Object Segmentation (VOS), Multi-Object Tracking (MOT), Multi-Object Tracking and Segmentation (MOTS), Pose Tracking, Video Instance Segmentation (VIS), and class-agnostic MOT (e.g. TAO dataset).",38897,304,0,28,Framework,Applied,Library,Applied,CONFLICT,CONFLICT,Library,,Applied,,,,,,Library,Applied,,,,,,,,
https://github.com/alexfrom0815/Online-3D-BPP-DRL,197,Python,3d-packing|bin-packing|online-packing|packing-algorithm|reinforcement-learning,This repository contains the implementation of paper Online 3D Bin Packing with Constrained Deep Reinforcement Learning.,7871,99,9,4,"Library, Experiment",Applied,Library,Applied,CONFLICT,CONFLICT,Library,,Applied,,,,,,Library,Applied,,,,,,,,
https://github.com/jixinya/EAMM,143,Python,,Code for paper 'EAMM: One-Shot Emotional Talking Face via Audio-Based Emotion-Aware Motion Model',5816,27,0,59,"Library, Experiment",Applied,Library,Applied,CONFLICT,CONFLICT,Library,,Applied,,,,,,Library,Applied,,,,,,,,
https://github.com/Ber666/llm-reasoners,522,Python,,A library for advanced large language model reasoning,5585,75,0,52,"Framework, Library",ML-Technology,Library,ML-Technology,CONFLICT,CONFLICT,Library,,ML-Technology,,,,,,Library,ML-Technology,,,,,,,,
https://github.com/KKKSQJ/DeepLearning,226,Python,,"A deep learning code base, mainly for paper replication, in the areas of image recognition, object detection, image segmentation, self-supervision, etc. Each project can be run independently, and there are corresponding articles to explain.",34228,692,1,253,Library,ML-Technology,Library,ML-Technology,OK,Library,,,ML-Technology,,,,,,Library,ML-Technology,,,,,,,,
https://github.com/PhonologicalCorpusTools/CorpusTools,108,Python,,Phonological CorpusTools,26940,163,0,146,Application,Applied,Library,Applied,CONFLICT,CONFLICT,Application,,Applied,,,,,,Application,Applied,,,,,,,,
https://github.com/mourga/contrastive-active-learning,104,Python,acquisition-functions|active-learning|deep-learning|natural-language-processing,"Code for the EMNLP 2021 Paper ""Active Learning by Acquiring Contrastive Examples"" & the ACL 2022 Paper ""On the Importance of Effectively Adapting Pretrained Language Models for Active Learning""",5274,31,0,4,"Library, Experiment",ML-Technology,Library,ML-Technology,CONFLICT,CONFLICT,Library,,ML-Technology,,,,,,Library,ML-Technology,,,,,,,,
https://github.com/Pinafore/qb,165,Python,artificial-intelligence|machine-learning|natural-language-processing,QANTA Quiz Bowl AI,12389,113,0,11,Application,Applied,Application,Applied,OK,Application,,,Applied,,,,,,Application,Applied,,,,,,,,
https://github.com/thygate/stable-diffusion-webui-depthmap-script,1329,Python,depthmap|lookingglass|stable-diffusion,High Resolution Depth Maps for Stable Diffusion WebUI,15639,113,0,8,Application,ML-Tools,Application,Applied,CONFLICT,Application,,,CONFLICT,Applied,,,,,Application,Applied,,,,,,,,
https://github.com/minitorch/minitorch,1253,Python,,The full minitorch student suite. ,5657,63,0,2,Library,ML-Tools,Framework,ML-Technology,CONFLICT,CONFLICT,Library,,CONFLICT,ML-Technology,,,,,Library,ML-Technology,,,,,,,,
https://github.com/h2oai/h2ogpt,8328,Python,ai|chatgpt|embeddings|generative|gpt|gpt4all|llama2|llm|pdf|private|privategpt|vectorstore,"Private Q&A and summarization of documents+images or chat with local GPT, 100% private, Apache 2.0. Supports LLaMa2, llama.cpp, and more. Demo: https://gpt.h2o.ai/ https://codellama.h2o.ai/",30087,110,0,78,Application,Applied,Application,Applied,OK,Application,,,Applied,,,,,,Application,Applied,,,,,,,,
https://github.com/noahbenson/neuropythy,103,Python,,"A neuroscience library for Python, intended to complement the existing nibabel library.",21995,56,0,7,Library,Applied,Library,"ML-Technology, Applied",CONFLICT,Library,,,CONFLICT,"ML-Technology, Applied",,,,,Library,"ML-Technology, Applied",,,,,,,,
https://github.com/kemaloksuz/aLRPLoss,134,Python,,Official PyTorch Implementation of aLRP Loss [NeurIPS2020],39833,675,0,14,"Library, Experiment","ML-Technology, ML-Tools",Library,ML-Technology,CONFLICT,CONFLICT,Library,,CONFLICT,ML-Technology,,,,,Library,ML-Technology,,,,,,,,
https://github.com/IBM/UQ360,241,Python,artificial-intelligence|bayesianneuralnetwork|calibration|machine-learning|metrics|trusted-ai|uncertainty|uncertainty-estimates|uncertainty-quantification,"Uncertainty Quantification 360 (UQ360) is an extensible open-source toolkit that can help you estimate, communicate and use uncertainty in machine learning model predictions.",7792,173,0,3,Library,ML-Tools,Library,ML-Technology,CONFLICT,Library,,,CONFLICT,ML-Technology,,,,,Library,ML-Technology,,,,,,,,
